10.1.0.10	23
10.1.0.11	196
10.1.0.13	142
10.1.0.190	149
10.1.0.195	25
10.1.0.254	665
10.1.100.1	118
10.1.100.101	82
10.1.100.104	40
10.1.100.105	1024
10.1.100.106	1463
10.1.100.111	196
10.1.100.112	209
10.1.100.114	174
10.1.100.115	119
10.1.100.116	128
10.1.100.118	104
10.1.100.124	128
10.1.100.130	723
10.1.100.133	1758
10.1.100.134	102
10.1.100.174	2088
10.1.100.175	362
10.1.100.2	1388
10.1.100.201	204
10.1.100.202	81
10.1.100.205	45
10.1.100.212	552
10.1.100.213	119
10.1.100.215	283
10.1.100.216	238
10.1.100.22	129
10.1.100.222	117
10.1.100.223	40
10.1.100.224	97
10.1.100.229	30
10.1.100.237	169
10.1.100.254	5076
10.1.100.26	32
10.1.100.28	2415
10.1.100.29	39
10.1.100.43	35
10.1.100.50	45
10.1.100.53	278
10.1.100.63	150
10.1.100.68	85
10.1.100.78	26
10.1.100.79	54
10.1.100.80	25
10.1.100.93	105
10.1.100.94	41
10.1.100.98	173
10.1.11.161	54
10.1.11.170	31
10.1.11.254	307
10.1.11.69	33
10.1.11.72	67
10.1.11.78	22
10.1.11.83	53
10.1.11.9	38
10.1.200.107	84
10.1.200.109	33
10.1.200.113	145
10.1.200.114	23
10.1.200.12	36
10.1.200.120	33
10.1.200.123	37
10.1.200.125	58
10.1.200.141	28
10.1.200.142	41
10.1.200.161	60
10.1.200.170	70
10.1.200.174	316
10.1.200.175	23
10.1.200.177	22
10.1.200.188	29
10.1.200.189	60
10.1.200.24	59
10.1.200.254	1398
10.1.200.5	21
10.1.200.50	30
10.1.200.51	201
10.1.200.52	45
10.1.200.54	42
10.1.200.57	34
10.1.200.58	53
10.1.200.6	69
10.1.200.65	2623
10.1.200.70	29
10.1.200.73	33
10.1.200.77	24
10.1.200.94	36
10.1.200.98	88
10.1.200.99	79
10.1.254.1	21
10.1.254.3	63
10.1.254.6	30
10.2.100.254	117
169254255255	681
192.168.0.1	42
192.168.1.1	181
192.168.1.123	47
192.168.50.1	21
