10.0.0.2	5
10.0.1.1	6
10.0.50.1	3
10.1.0.10	23
10.1.0.11	196
10.1.0.13	142
10.1.0.190	149
10.1.0.191	6
10.1.0.192	5
10.1.0.194	11
10.1.0.195	25
10.1.0.196	6
10.1.0.197	13
10.1.0.254	665
10.1.0.9	4
10.1.100.1	118
10.1.100.10	1
10.1.100.101	82
10.1.100.104	40
10.1.100.105	1024
10.1.100.106	1463
10.1.100.107	6
10.1.100.111	196
10.1.100.112	209
10.1.100.114	174
10.1.100.115	119
10.1.100.116	128
10.1.100.118	104
10.1.100.124	128
10.1.100.129	3
10.1.100.130	723
10.1.100.132	4
10.1.100.133	1758
10.1.100.134	102
10.1.100.174	2088
10.1.100.175	362
10.1.100.180	4
10.1.100.2	1388
10.1.100.201	204
10.1.100.202	81
10.1.100.205	45
10.1.100.207	6
10.1.100.209	2
10.1.100.211	14
10.1.100.212	552
10.1.100.213	119
10.1.100.215	283
10.1.100.216	238
10.1.100.22	129
10.1.100.220	16
10.1.100.221	16
10.1.100.222	117
10.1.100.223	40
10.1.100.224	97
10.1.100.228	13
10.1.100.229	30
10.1.100.23	6
10.1.100.235	3
10.1.100.237	169
10.1.100.254	5076
10.110.0.254	1
10.1.100.26	32
10.1.100.28	2415
10.1.100.29	39
10.1.100.3	1
10.1.100.4	18
10.1.100.43	35
10.1.100.45	9
10.1.100.48	1
10.1.100.50	45
10.1.100.52	7
10.1.100.53	278
10.1.100.58	4
10.1.100.63	150
10.1.100.68	85
10.1.100.74	18
10.1.100.75	16
10.1.100.78	26
10.1.100.79	54
10.1.100.8	3
10.1.100.80	25
10.1.100.90	4
10.1.100.93	105
10.1.100.94	41
10.1.100.98	173
10.1.11.13	1
10.1.11.161	54
10.1.11.170	31
10.1.11.182	7
10.1.11.254	307
10.1.11.3	8
10.1.11.69	33
10.1.11.72	67
10.1.11.78	22
10.1.11.83	53
10.1.11.9	38
10.1.200.1	2
10.1.200.10	1
10.1.200.101	3
10.1.200.102	14
10.1.200.105	2
10.1.200.106	9
10.1.200.107	84
10.1.200.108	4
10.1.200.109	33
10.1.200.11	1
10.1.200.110	16
10.1.200.112	1
10.1.200.113	145
10.1.200.114	23
10.1.200.117	14
10.1.200.12	36
10.1.200.120	33
10.1.200.121	1
10.1.200.122	4
10.1.200.123	37
10.1.200.124	8
10.1.200.125	58
10.1.200.126	11
10.1.200.128	3
10.1.200.130	2
10.1.200.131	6
10.1.200.133	1
10.1.200.134	5
10.1.200.135	2
10.1.200.136	1
10.1.200.138	1
10.1.200.139	3
10.1.200.14	1
10.1.200.141	28
10.1.200.142	41
10.1.200.143	1
10.1.200.144	4
10.1.200.147	2
10.1.200.150	2
10.1.200.151	10
10.1.200.154	4
10.1.200.155	9
10.1.200.156	12
10.1.200.159	5
10.1.200.16	10
10.1.200.160	2
10.1.200.161	60
10.1.200.163	9
10.1.200.167	6
10.1.200.170	70
10.1.200.173	6
10.1.200.174	316
10.1.200.175	23
10.1.200.176	11
10.1.200.177	22
10.1.200.18	6
10.1.200.180	1
10.1.200.182	12
10.1.200.185	13
10.1.200.187	1
10.1.200.188	29
10.1.200.189	60
10.1.200.190	3
10.1.200.193	9
10.1.200.194	13
10.1.200.195	3
10.1.200.198	1
10.1.200.199	2
10.1.200.200	1
10.1.200.21	9
10.1.200.22	8
10.1.200.23	2
10.1.200.24	59
10.1.200.25	17
10.1.200.254	1398
10.1.200.26	2
10.1.200.3	16
10.1.200.31	2
10.1.200.33	2
10.1.200.35	8
10.1.200.36	1
10.1.200.37	1
10.1.200.40	2
10.1.200.41	19
10.1.200.42	4
10.1.200.44	5
10.1.200.46	6
10.1.200.47	1
10.1.200.48	2
10.1.200.49	6
10.1.200.5	21
10.1.200.50	30
10.1.200.51	201
10.1.200.52	45
10.1.200.53	4
10.1.200.54	42
10.1.200.55	3
10.1.200.57	34
10.1.200.58	53
10.1.200.59	16
10.1.200.6	69
10.1.200.61	5
10.1.200.62	1
10.1.200.63	9
10.1.200.64	3
10.1.200.65	2623
10.1.200.7	1
10.1.200.70	29
10.1.200.72	1
10.1.200.73	33
10.1.200.74	1
10.1.200.75	3
10.1.200.76	14
10.1.200.77	24
10.1.200.8	1
10.1.200.82	1
10.1.200.85	19
10.1.200.87	20
10.1.200.90	10
10.1.200.91	7
10.1.200.93	2
10.1.200.94	36
10.1.200.95	4
10.1.200.96	12
10.1.200.98	88
10.1.200.99	79
10.1.254.1	21
10.1.254.10	1
10.1.254.254	10
10.1.254.3	63
10.1.254.6	30
10.1.254.7	15
10.2.0.1	8
10.2.100.254	117
10255255254	2
10.65.130.1	7
169254103223	2
169254116187	3
169254136209	1
169254138247	1
169.254.142.81	6
169.254.165.11	1
169.254.179.99	1
169.254.19.226	11
169254205155	3
169.254.213.55	3
169.254.23.4	1
169.254.2.39	12
169.254.242.35	1
169.254.247.75	1
169254255255	681
169.254.54.135	3
169.254.73.184	3
169.254.84.186	3
192.100.7.1	1
192.168.0.1	42
192.168.100.1	3
192.168.1.1	181
192.168.1.100	4
192.168.1.101	10
192.168.1.102	5
192.168.1.103	5
192.168.1.104	5
192.168.1.105	8
192.168.1.106	8
192.168.1.107	7
192.168.1.108	7
192.168.1.109	8
192.168.1.110	4
192.168.1.111	6
192.168.1.112	3
192.168.1.113	6
192.168.1.114	6
192.168.1.115	9
192.168.1.116	10
192.168.1.117	4
192.168.1.118	8
192.168.1.119	7
192.168.1.120	7
192.168.1.121	7
192.168.1.122	2
192.168.1.123	47
192.168.1.124	7
192.168.1.125	5
192.168.1.126	6
192.168.1.127	5
192.168.1.128	2
192.168.1.129	8
192.168.1.130	1
192.168.1.131	7
192.168.1.132	4
192.168.1.133	5
192.168.1.134	6
192.168.1.135	8
192.168.1.136	6
192.168.1.137	7
192.168.1.138	8
192.168.1.139	5
192.168.1.140	5
192.168.1.141	5
192.168.1.142	5
192.168.1.143	5
192.168.1.144	5
192.168.1.145	6
192.168.1.146	5
192.168.1.147	8
192.168.1.148	6
192.168.1.149	6
192.168.1.254	1
192.168.2.1	3
192.168.22.1	3
192.168.50.1	21
192.168.50.126	3
255255255255	3
